source,stress_score,academic_workload_score,study_time_score,sleep_hours_score,stress_trend,workload_trend,study_trend,sleep_trend,mfbi_score,burnout_risk_level,next_week_number
real,7.0,3.75,4.38,25.0,-16.0,-1.25,-11.5,-40.0,0.2438,Low,3.0
real,31.0,5.63,21.5,80.0,0.0,0.0,0.0,0.0,0.7495,High,2.0
synthetic,17.62,0.68,9.22,33.24,-1.99,0.95,0.29,-11.29,0.4023,Low,
synthetic,14.48,0.02,9.76,10.3,-2.74,-0.65,-0.2,-3.16,0.32,Low,
synthetic_balance,6.52,1.73,7.28,56.4,2.0127,-0.5017,1.29,1.2555,0.3545,Low,2.0
real,24.0,3.75,10.0,50.0,-6.0,-4.380000000000001,-8.379999999999999,-25.0,0.4688,Moderate,4.0
synthetic,8.14,5.63,1.24,29.34,1.5,-0.04,-1.77,6.1,0.2909,Low,
synthetic,24.89,2.16,11.94,9.08,1.17,0.42,-0.28,-6.45,0.4808,Moderate,
real,13.0,1.88,6.5,20.0,5.0,-3.12,-6.25,-5.0,0.2433,Moderate,3.0
real,25.0,7.5,25.0,85.0,0.0,0.0,0.0,0.0,0.8063,High,4.0
real,10.0,3.13,6.5,35.0,-21.0,-4.37,-9.38,-35.0,0.2933,Moderate,4.0
synthetic_balance,34.13,7.63,12.04,79.53,0.2583,0.2771,1.188,-4.6182,0.8569,High,2.0
real,16.0,6.25,9.63,55.0,7.0,4.37,5.880000000000001,30.0,0.4901,High,3.0
synthetic_balance,0.34,5.21,6.17,0.71,-0.179,0.426,-0.7349,-10.7662,0.2765,Low,2.0
real,15.0,5.0,9.63,65.0,0.0,0.0,0.0,0.0,0.4776,Low,2.0
synthetic,4.42,8.59,11.19,34.48,2.4,-0.5,0.5,-0.68,0.5615,Moderate,
synthetic,37.26,1.98,6.56,48.29,-3.11,0.62,0.15,-10.47,0.5396,Moderate,
synthetic_balance,24.57,3.59,3.03,13.73,-0.9916,0.1597,-1.2023,-1.6586,0.3179,Low,2.0
real,29.0,6.25,21.88,70.0,1.0,-1.25,3.5,5.0,0.7313,High,3.0
synthetic,33.69,3.69,2.47,65.89,-5.25,-0.74,-0.72,-10.89,0.5191,Moderate,
real,32.0,7.5,12.75,80.0,12.0,1.25,-3.130000000000001,35.0,0.715,Moderate,4.0
synthetic,16.52,9.14,4.94,12.59,0.13,1.7,0.31,5.26,0.4661,Moderate,
real,19.0,3.75,10.0,50.0,8.0,1.25,8.75,25.0,0.4375,High,3.0
synthetic_balance,7.01,4.48,0.38,94.42,-2.0741,-0.3124,-0.4344,-8.6027,0.4467,Low,2.0
real,19.0,4.38,13.13,40.0,8.0,1.88,3.5,15.0,0.4596,Low,4.0
real,30.0,8.13,25.0,65.0,18.0,4.380000000000001,15.37,55.0,0.8033,High,4.0
synthetic,24.62,8.49,0.67,32.01,-2.76,-0.53,-0.42,-4.45,0.4601,Moderate,
synthetic_balance,32.28,9.42,16.0,76.25,-0.8861,-0.41,0.1596,-3.3686,0.8583,Low,5.0
real,21.0,3.75,15.88,65.0,0.0,0.0,0.0,0.0,0.5463,Low,4.0
synthetic_balance,5.63,0.25,4.97,26.73,-2.5696,-0.1842,1.0332,-9.8823,0.2271,Low,3.0
real,18.0,4.38,13.13,50.0,8.0,2.5,11.88,25.0,0.4783,Low,3.0
synthetic_balance,21.18,8.45,7.5,72.22,1.8733,-0.4325,-0.5008,15.4339,0.6621,High,2.0
real,20.0,6.25,12.13,50.0,0.0,0.0,0.0,0.0,0.5276,Low,4.0
real,31.0,8.13,15.25,100.0,0.0,0.0,0.0,0.0,0.7995,Low,2.0
real,32.0,7.5,25.0,90.0,0.0,0.0,0.0,0.0,0.8625,High,4.0
synthetic,32.86,7.55,1.24,82.94,2.93,0.31,1.55,0.32,0.6271,Moderate,
real,11.0,3.13,3.75,30.0,0.0,0.0,0.0,0.0,0.2595,High,4.0
real,21.0,5.0,15.88,45.0,0.0,0.0,0.0,0.0,0.5276,High,2.0
real,23.0,3.75,15.25,65.0,0.0,0.0,0.0,0.0,0.5525,Low,2.0
real,21.0,4.38,13.13,45.0,-12.0,-2.5,-5.869999999999999,-25.0,0.4846,Moderate,3.0
synthetic_balance,32.77,7.01,11.62,65.04,-1.3394,-1.0228,1.1317,3.9042,0.7736,High,3.0
synthetic,29.13,8.62,9.82,60.0,-1.36,0.75,-0.11,5.83,0.7521,High,
synthetic_balance,5.9,0.12,3.92,41.2,-3.23,1.2681,0.3153,8.2402,0.2274,Low,3.0
synthetic,17.04,1.77,5.11,74.55,2.04,0.03,0.42,-4.17,0.4437,Moderate,
real,29.0,7.5,18.38,75.0,12.0,1.25,0.0,25.0,0.7401,High,4.0
real,27.0,8.75,15.88,75.0,0.0,0.0,0.0,0.0,0.7338,High,4.0
real,18.0,6.25,13.13,40.0,0.0,0.0,0.0,0.0,0.5001,High,4.0
synthetic_balance,21.87,0.26,4.18,21.88,-3.7026,-0.7695,-0.0613,11.6923,0.2863,Low,2.0
synthetic,10.08,5.42,0.69,14.72,1.02,0.51,-0.28,4.6,0.2498,Low,
synthetic,13.3,8.79,5.38,94.88,1.38,-0.33,-0.96,-1.11,0.652,Moderate,
real,19.0,4.38,10.0,65.0,-3.0,-0.6200000000000001,-2.75,20.0,0.4908,Moderate,4.0
real,11.0,2.5,1.25,25.0,0.0,0.0,0.0,0.0,0.2063,Moderate,2.0
real,11.0,1.25,1.25,25.0,-18.0,-7.5,-14.0,-50.0,0.175,Moderate,4.0
real,10.0,3.75,6.5,15.0,0.0,0.0,0.0,0.0,0.2588,Moderate,2.0
real,31.0,8.75,18.38,70.0,0.0,0.0,0.0,0.0,0.7713,Moderate,4.0
synthetic_balance,35.42,8.77,4.27,60.06,4.1936,2.2557,-0.7236,-2.7205,0.706,High,2.0
real,23.0,5.0,18.38,40.0,-7.0,-4.380000000000001,0.0,-20.0,0.5526,High,4.0
synthetic,12.85,9.46,11.16,61.56,2.1,0.27,-0.18,-5.13,0.7032,High,
real,19.0,5.0,10.0,70.0,0.0,0.6200000000000001,0.0,30.0,0.5188,Low,3.0
synthetic,14.05,7.15,2.91,8.95,-1.78,0.98,-1.49,-9.7,0.3496,Low,
synthetic,7.35,9.26,9.3,6.54,-2.57,0.73,-0.01,6.9,0.4876,Moderate,
real,28.0,7.5,15.88,80.0,-2.0,-1.25,0.0,5.0,0.7213,High,4.0
synthetic,25.26,4.78,1.44,45.12,4.46,-0.58,0.4,13.05,0.4203,Moderate,
real,29.0,8.75,21.5,80.0,20.0,7.5,17.75,50.0,0.815,Moderate,4.0
synthetic_balance,21.54,9.67,8.85,87.64,4.7933,-0.4505,-0.7107,-13.1465,0.7547,High,2.0
synthetic_balance,33.37,2.9,1.13,27.84,-0.7243,0.0285,-0.2909,-7.7064,0.3458,Low,2.0
synthetic,16.56,3.93,1.96,79.58,-1.28,0.37,-0.2,8.85,0.4415,Moderate,
synthetic_balance,17.27,6.26,0.83,73.05,-0.7149,1.0846,0.2737,-25.7687,0.4833,Moderate,2.0
synthetic_balance,32.83,6.96,11.9,61.96,-2.4331,-1.0999,1.382,2.2604,0.7805,High,3.0
synthetic,2.35,1.23,9.84,44.01,-4.43,0.65,0.18,4.85,0.3604,Moderate,
synthetic_balance,38.16,7.94,4.84,63.72,2.8964,-0.7695,1.1376,3.1788,0.6932,High,2.0
synthetic_balance,31.63,4.82,10.73,97.18,-0.4651,-0.1124,0.7423,2.7732,0.7639,High,2.0
synthetic_balance,24.09,4.14,10.02,94.79,-1.6197,1.1815,-0.4769,10.4415,0.6742,High,3.0
synthetic_balance,37.11,4.32,11.19,83.27,-1.6784,-0.6237,0.8657,-7.9212,0.8053,High,3.0
real,5.0,4.38,12.75,10.0,0.0,0.0,0.0,0.0,0.2933,High,2.0
real,18.0,5.63,12.75,65.0,-2.0,0.6299999999999999,0.0,25.0,0.5433,High,4.0
real,8.0,1.25,4.38,25.0,-29.0,-5.63,-20.62,-55.0,0.1876,Low,4.0
synthetic,32.67,8.88,9.13,82.47,4.3,0.57,-0.42,8.07,0.8225,High,
real,19.0,3.75,15.25,60.0,-1.0,-2.5,-0.6300000000000008,20.0,0.515,Low,3.0
synthetic,17.19,2.38,6.61,10.88,2.01,-0.13,-0.27,1.93,0.3319,Low,
real,15.0,6.25,6.88,70.0,0.0,0.0,0.0,0.0,0.4938,Moderate,2.0
synthetic,28.23,2.18,1.37,26.78,4.56,0.22,0.07,2.78,0.3264,Low,
synthetic_balance,36.0,8.43,8.29,26.63,2.8801,0.6773,-0.2958,-15.4021,0.7146,High,3.0
synthetic_balance,36.64,9.75,3.78,62.72,1.1227,0.1893,-0.3218,-12.1621,0.7022,High,2.0
synthetic_balance,29.94,8.0,10.77,96.31,0.9622,1.6236,0.9873,-0.4312,0.8627,High,2.0
real,27.0,7.5,21.5,80.0,0.0,0.0,0.0,0.0,0.7713,Moderate,4.0
synthetic_balance,26.18,4.55,10.74,92.03,0.1849,-0.1162,0.7897,1.7723,0.7611,High,2.0
synthetic,29.69,3.07,5.65,74.2,-1.08,-1.13,0.68,6.11,0.5655,Moderate,
synthetic_balance,26.36,5.81,7.94,82.75,-1.939,0.1828,-0.4919,12.7449,0.6967,High,2.0
synthetic,38.02,4.24,2.95,2.86,-1.17,0.27,0.11,-1.7,0.4121,Moderate,
synthetic_balance,38.13,4.27,11.19,85.25,-1.7772,-0.85,1.1879,-8.6984,0.7617,High,3.0
synthetic_balance,29.37,0.3,4.07,4.58,1.9794,1.3515,-0.4456,4.9726,0.2856,Low,3.0
real,31.0,7.5,15.88,70.0,11.0,1.87,2.75,20.0,0.7151,Low,3.0
synthetic_balance,37.19,8.11,7.73,77.4,-4.3078,0.2977,0.8844,-18.1883,0.7759,High,2.0
synthetic,32.94,0.9,4.97,55.9,2.3,0.09,0.44,-8.0,0.4717,Moderate,
real,27.0,8.13,18.75,70.0,0.0,0.0,0.0,0.0,0.7345,Moderate,4.0
synthetic,21.71,9.27,1.19,94.22,1.94,-0.16,0.58,5.77,0.6277,Moderate,
synthetic_balance,23.15,3.39,9.34,99.63,-0.6072,1.3604,-0.5305,8.3703,0.6761,High,3.0
synthetic,29.04,1.28,8.61,25.67,-5.27,1.09,0.31,-0.2,0.4571,Moderate,
synthetic,34.84,4.17,8.26,42.35,0.67,0.55,-0.74,-12.73,0.6,Moderate,
synthetic,8.15,4.1,1.93,20.04,-1.62,-0.37,-0.69,4.29,0.2438,Low,
real,31.0,8.75,25.0,80.0,6.0,5.62,12.87,30.0,0.8625,Moderate,4.0
real,12.0,3.13,6.88,20.0,-3.0,-1.25,-8.370000000000001,-50.0,0.2721,Low,4.0
synthetic_balance,26.7,5.45,2.42,19.83,-0.477,0.17,-0.5831,-4.6498,0.3514,Low,2.0
real,15.0,3.75,12.75,35.0,0.0,0.0,0.0,0.0,0.4025,Moderate,4.0
synthetic,36.46,8.22,11.54,52.18,-2.12,0.3,1.03,-9.1,0.8043,High,
real,33.0,7.5,15.25,75.0,0.0,0.0,0.0,0.0,0.7338,High,4.0
real,19.0,6.25,15.88,45.0,3.0,3.12,14.63,0.0,0.5463,High,4.0
synthetic_balance,19.99,1.47,6.15,36.6,-3.5353,-1.094,-0.1671,2.4452,0.389,Low,2.0
synthetic,29.9,2.47,2.96,35.22,2.65,-0.36,-0.04,-2.54,0.3984,Moderate,
synthetic_balance,10.64,0.95,3.41,5.98,0.7658,-0.7053,0.9417,-9.7295,0.1546,Low,2.0
real,21.0,5.63,12.75,70.0,0.0,0.0,0.0,0.0,0.5745,Moderate,4.0
synthetic_balance,9.29,2.51,9.94,27.97,-1.4629,-0.2009,-1.442,-3.4147,0.393,Low,3.0
synthetic_balance,2.15,5.17,6.28,0.87,-0.3875,0.4165,-0.9691,-10.898,0.2673,Low,3.0
real,9.0,3.13,7.5,25.0,-11.0,-3.12,-2.130000000000001,-10.0,0.272,High,3.0
synthetic,15.35,6.77,3.75,42.07,0.67,-0.5,0.54,-7.08,0.4485,Moderate,
real,31.0,7.5,19.0,75.0,26.0,3.12,6.25,65.0,0.7588,Moderate,3.0
real,30.0,8.13,18.75,60.0,0.0,0.0,0.0,0.0,0.7283,Moderate,4.0
synthetic_balance,38.96,9.59,3.93,57.62,3.7408,1.9206,-0.8618,-4.3554,0.7081,High,3.0
synthetic,17.91,3.83,1.39,19.22,0.82,-0.68,-1.19,0.16,0.2847,Low,
synthetic_balance,9.98,3.52,2.75,6.26,0.5681,0.3349,0.9994,-0.0363,0.2124,Low,2.0
synthetic_balance,36.42,10.0,10.93,26.88,4.6005,0.0326,0.0694,8.7809,0.7508,High,3.0
synthetic_balance,5.13,4.43,6.92,5.54,-5.8192,0.4475,0.8875,1.2257,0.3221,Low,2.0
synthetic_balance,1.32,3.67,3.41,72.61,2.0435,0.489,-1.2827,7.3712,0.3475,Low,2.0
synthetic,28.62,3.01,8.17,53.38,-0.13,-0.42,1.3,1.16,0.5577,Moderate,
synthetic,10.56,7.41,1.37,16.17,-3.49,-0.08,1.3,4.28,0.3204,Low,
real,19.0,5.0,10.0,65.0,-12.0,-2.5,-9.0,-10.0,0.5063,High,4.0
synthetic,1.28,3.64,3.05,72.01,1.56,0.44,-1.35,6.85,0.3424,Low,
real,30.0,9.38,18.38,60.0,9.0,4.380000000000001,2.4999999999999982,15.0,0.7558,Moderate,3.0
synthetic,17.87,6.5,8.17,48.87,-0.05,0.27,-0.14,2.03,0.5667,Moderate,
real,30.0,8.13,25.0,75.0,22.0,6.250000000000001,12.25,45.0,0.8283,Low,4.0
real,19.0,4.38,10.0,40.0,0.0,0.0,0.0,0.0,0.4283,Moderate,2.0
real,12.0,1.88,4.38,30.0,0.0,0.0,0.0,0.0,0.2408,High,2.0
synthetic,37.37,2.24,9.98,65.37,-3.64,-0.18,-0.05,-16.5,0.6608,Moderate,
real,26.0,8.13,15.25,75.0,17.0,5.000000000000001,7.75,50.0,0.7058,Low,4.0
synthetic,24.84,2.11,0.58,90.05,-2.65,1.1,1.22,-10.51,0.4453,Moderate,
synthetic,28.98,3.15,3.81,87.85,-0.31,0.51,-0.26,4.53,0.5587,Moderate,
synthetic,10.69,7.46,10.42,60.68,-5.21,0.28,-0.62,-5.42,0.6221,Moderate,
synthetic_balance,32.25,3.89,10.86,51.14,2.4518,0.4089,1.4595,0.0379,0.6758,High,2.0
real,9.0,1.88,12.75,10.0,0.0,0.0,0.0,0.0,0.2558,High,2.0
synthetic_balance,4.27,0.96,8.47,0.0,-5.0076,0.9199,-0.7957,-1.7916,0.2444,Low,2.0
real,8.0,5.0,10.0,5.0,0.0,0.0,0.0,0.0,0.2875,Moderate,4.0
synthetic,6.11,0.68,3.84,24.5,-2.9,0.68,-0.44,1.31,0.1966,Low,
synthetic_balance,29.29,8.88,10.77,95.13,0.9232,1.5688,0.8811,-0.1507,0.863,High,2.0
real,21.0,6.25,18.38,65.0,3.0,-0.6299999999999999,8.749999999999998,20.0,0.6338,High,4.0
synthetic,32.59,1.24,7.36,31.77,1.37,-1.37,-0.53,0.6,0.4675,Moderate,
real,32.0,6.25,21.88,65.0,2.0,0.0,0.0,-30.0,0.7376,Low,4.0
synthetic_balance,34.79,9.32,3.97,64.65,1.0688,0.2919,-0.4596,-13.2951,0.6957,High,2.0
real,13.0,3.13,9.63,30.0,5.0,1.25,0.0,-15.0,0.3308,Moderate,3.0
synthetic,38.33,9.61,6.78,6.55,3.18,1.04,0.23,6.78,0.6374,Moderate,
synthetic,21.11,8.03,7.23,66.25,2.97,-0.29,-0.38,15.93,0.6489,High,
synthetic_balance,39.91,5.43,9.71,91.79,-1.8122,-0.3924,-0.4767,4.1863,0.8295,High,2.0
synthetic,27.51,1.58,6.22,61.36,-0.94,-0.09,-0.06,20.05,0.4944,Moderate,
synthetic,39.42,1.61,11.93,62.76,4.73,-0.46,-0.23,-4.39,0.6921,Moderate,
synthetic,23.7,3.43,9.45,96.54,-1.21,1.18,-0.6,9.69,0.6721,High,
synthetic,38.15,7.8,4.63,66.13,3.25,-0.92,1.21,1.75,0.6952,High,
synthetic_balance,33.13,9.15,5.54,29.62,-4.9023,0.9377,-0.9499,6.778,0.6232,High,2.0
synthetic_balance,28.75,9.34,10.56,94.28,1.0078,1.5795,1.0485,-0.6193,0.8585,High,2.0
real,19.0,3.75,12.75,40.0,-2.0,-3.75,0.6199999999999992,-20.0,0.44,Low,3.0
real,21.0,5.63,12.13,55.0,-9.0,-3.12,-6.249999999999998,-5.0,0.5308,Low,3.0
synthetic_balance,30.44,9.04,9.36,83.53,3.763,0.5913,-0.2007,5.7916,0.8217,High,2.0
synthetic_balance,36.44,9.45,4.02,67.18,1.743,0.1849,-0.1107,-14.2694,0.7168,High,2.0
synthetic,21.84,2.24,1.71,14.88,-1.43,-0.44,-0.68,-1.39,0.2652,Low,
synthetic,15.77,5.56,7.26,15.55,2.24,-1.01,0.34,24.66,0.4278,Moderate,
real,14.0,3.13,7.5,20.0,0.0,1.25,0.6200000000000001,5.0,0.2908,Moderate,3.0
synthetic,14.9,4.66,6.11,43.87,-1.81,-0.25,0.61,-6.07,0.4465,Moderate,
synthetic_balance,10.25,10.0,11.36,78.01,-6.6471,1.061,-0.935,10.2731,0.7292,High,2.0
synthetic_balance,26.17,6.51,9.38,65.33,1.2686,-0.0792,1.7213,3.3278,0.6902,High,2.0
synthetic_balance,35.48,6.26,3.55,93.43,0.7963,-0.3114,0.5944,9.6482,0.6928,High,3.0
synthetic_balance,16.23,2.45,2.81,30.05,2.2819,-1.0978,1.46,1.7256,0.3133,Low,2.0
real,10.0,1.25,12.75,35.0,0.0,0.0,0.0,0.0,0.3087,Moderate,4.0
synthetic_balance,35.46,5.83,8.11,80.41,0.4614,0.1996,-0.4531,-5.5777,0.7077,High,2.0
real,11.0,1.88,6.88,40.0,-19.0,-5.62,-5.87,-35.0,0.2845,High,3.0
synthetic_balance,35.35,7.36,5.93,34.41,-4.4599,0.9661,0.2601,7.5861,0.6492,High,2.0
real,29.0,6.88,18.38,90.0,20.0,6.25,8.749999999999998,70.0,0.762,Low,3.0
synthetic,38.77,4.84,7.51,95.73,-0.87,-0.3,1.51,4.72,0.759,High,
synthetic_balance,19.81,3.55,2.17,13.61,1.1135,0.3727,0.3336,-0.335,0.2805,Low,2.0
real,20.0,6.25,6.88,50.0,0.0,0.0,0.0,0.0,0.4751,Low,2.0
real,11.0,2.5,9.63,25.0,-20.0,-5.630000000000001,-5.619999999999999,-75.0,0.2901,Moderate,3.0
synthetic,37.98,7.17,7.21,76.65,-3.95,0.41,0.65,-16.79,0.7585,High,
real,30.0,7.5,18.38,75.0,0.0,0.0,0.0,0.0,0.7463,Moderate,4.0
synthetic,30.73,1.55,1.01,23.71,1.81,-1.11,-0.88,2.3,0.311,Low,
synthetic_balance,35.14,9.81,9.26,48.8,2.9446,-0.8094,-1.2428,8.2883,0.7889,High,3.0
real,20.0,4.38,18.38,35.0,0.0,0.0,0.0,0.0,0.5058,Low,4.0
synthetic_balance,36.68,9.25,4.12,64.24,3.7967,2.0154,-0.8183,-4.7328,0.7098,High,3.0
real,30.0,7.5,18.75,75.0,21.0,6.25,15.0,45.0,0.75,High,4.0
synthetic,31.08,4.63,10.91,91.42,-0.2,0.01,0.65,1.84,0.7659,High,
synthetic_balance,33.79,5.04,11.45,73.78,-3.2287,-0.1896,-0.1532,-11.4109,0.7677,High,3.0
synthetic,9.44,5.63,11.1,62.09,-0.37,1.02,0.46,13.41,0.5864,Moderate,
synthetic_balance,21.02,0.32,3.72,27.04,-2.5175,-0.6133,0.065,12.6855,0.2679,Low,2.0
synthetic_balance,31.42,1.99,1.33,27.09,4.1221,-1.326,-1.1337,6.1421,0.3173,Low,2.0
synthetic_balance,20.81,7.6,11.42,73.57,-1.6247,-0.0645,-0.0089,-8.0749,0.7549,High,2.0
synthetic_balance,36.69,7.58,6.74,76.74,-3.9735,0.4872,0.7585,-17.9201,0.7519,High,3.0
synthetic,33.78,5.46,8.28,75.78,0.29,0.22,-0.39,-4.78,0.7096,High,
real,19.0,5.63,15.88,40.0,0.0,0.0,0.0,0.0,0.5183,High,2.0
synthetic_balance,9.74,10.0,10.97,80.71,-6.2421,0.9806,-1.0156,10.8402,0.7199,High,2.0
real,32.0,6.88,21.5,80.0,0.0,0.0,0.0,0.0,0.787,Low,4.0
synthetic,3.96,1.76,5.87,77.56,2.76,-0.54,-0.74,-3.96,0.3849,Low,
real,15.0,5.63,13.13,60.0,0.0,0.0,0.0,0.0,0.5158,High,4.0
synthetic_balance,31.06,8.9,8.61,44.14,0.8367,-0.1785,0.6769,6.2996,0.6948,High,2.0
synthetic_balance,28.77,9.26,10.32,85.47,-1.5039,0.1977,0.7689,20.9924,0.8209,High,3.0
synthetic_balance,26.62,6.77,7.86,90.27,-1.3625,0.2472,-0.005,13.3608,0.7025,High,3.0
synthetic_balance,11.81,9.62,9.28,90.24,4.9281,0.9533,-1.0009,-10.8793,0.7301,High,2.0
synthetic_balance,38.42,9.5,6.22,74.55,-0.052,-1.4566,-0.672,2.2565,0.7733,High,3.0
real,17.0,5.63,15.88,45.0,0.0,0.0,0.0,0.0,0.5183,Moderate,4.0
synthetic_balance,12.73,7.94,3.9,0.0,-4.0796,-0.5923,-0.4875,15.3252,0.3663,Low,2.0
synthetic,8.24,5.13,6.97,12.41,-0.76,-0.42,-0.0,16.38,0.3561,Moderate,
synthetic_balance,16.54,0.86,4.71,54.69,-3.1687,-0.2788,0.4048,6.5139,0.3659,Low,2.0
synthetic,0.66,5.52,9.77,47.08,2.93,0.94,-0.22,-10.65,0.4634,Moderate,
synthetic,21.94,4.45,1.03,47.33,-0.26,0.67,-0.25,-14.72,0.3882,Low,
synthetic,28.81,7.28,7.34,25.93,2.55,1.23,-0.56,-2.1,0.5798,Moderate,
synthetic,8.73,9.81,7.44,81.66,-1.41,-0.48,0.31,10.17,0.659,Moderate,
synthetic,0.98,4.66,10.32,5.31,0.84,-0.51,-1.55,9.05,0.3508,Low,
synthetic_balance,18.59,1.79,6.14,41.18,-4.232,-0.7959,-0.6735,3.6992,0.3978,Low,2.0
synthetic,12.38,3.91,3.61,35.0,-2.63,-0.04,0.31,-3.62,0.3378,Low,
synthetic_balance,2.63,0.69,3.88,3.59,0.2248,-0.6676,0.8396,4.4463,0.122,Low,3.0
real,11.0,1.25,7.5,15.0,-16.0,-6.25,-7.75,-60.0,0.2125,High,3.0
real,30.0,8.13,25.0,80.0,11.0,3.130000000000001,15.37,25.0,0.8408,Moderate,4.0
real,23.0,4.38,13.13,65.0,-1.0,0.6299999999999999,0.3800000000000008,25.0,0.547,High,4.0
synthetic_balance,4.86,4.2,2.13,69.41,2.063,-0.031,0.3241,2.3355,0.3597,Low,2.0
synthetic_balance,17.65,8.73,9.77,97.68,-0.7356,0.8057,-0.1115,-5.6057,0.7673,High,3.0
real,8.0,1.88,1.25,20.0,-5.0,-0.6200000000000001,0.0,-5.0,0.1595,Moderate,3.0
synthetic_balance,32.78,9.29,9.11,82.7,5.0184,0.6472,-0.5965,4.3308,0.8241,High,2.0
synthetic_balance,33.64,5.8,8.39,74.38,0.514,0.2254,-0.337,-4.9157,0.7226,High,3.0
synthetic,3.28,5.31,1.17,91.35,-2.41,0.88,-0.23,5.52,0.4061,Moderate,
synthetic_balance,10.79,1.35,9.01,56.5,-1.4961,-0.5986,-0.3948,-5.1971,0.4276,Low,3.0
synthetic,20.88,2.93,6.77,28.97,4.37,0.77,-0.87,8.93,0.4173,Moderate,
real,28.0,8.75,18.38,75.0,16.0,6.25,14.63,55.0,0.7651,Moderate,4.0
real,23.0,9.38,25.0,30.0,0.0,0.0,0.0,0.0,0.7032,Low,2.0
synthetic_balance,5.27,0.22,3.73,39.05,-3.1344,1.3245,0.2668,10.2154,0.2392,Low,2.0
real,28.0,5.63,18.38,70.0,-3.0,-1.87,-0.620000000000001,15.0,0.6746,Low,3.0
real,12.0,2.5,4.38,15.0,-11.0,-1.25,-10.87,-50.0,0.2188,Low,3.0
synthetic,21.49,1.64,3.62,89.51,2.97,-0.78,1.1,11.33,0.4743,Moderate,
synthetic_balance,18.09,3.83,13.56,47.77,-0.2207,0.082,-0.7227,3.3663,0.4445,Low,2.0
real,10.0,0.63,12.75,25.0,0.0,0.0,0.0,0.0,0.2683,High,2.0
synthetic_balance,32.82,7.8,12.58,85.99,0.7921,0.5988,0.8963,-4.9538,0.8562,High,2.0
synthetic_balance,32.66,5.98,5.58,75.13,-1.3384,-0.0177,0.9976,7.6517,0.6765,High,2.0
synthetic_balance,7.93,4.56,1.62,19.2,-1.119,-0.3624,-0.7402,5.5694,0.2224,Low,2.0
real,31.0,8.75,21.88,95.0,2.0,2.5,0.0,25.0,0.8688,High,4.0
synthetic,15.96,9.23,1.34,38.12,-2.64,0.86,-2.01,5.36,0.4537,Moderate,
synthetic_balance,5.26,2.48,9.07,7.94,-1.6742,0.4891,-0.4272,9.332,0.3021,Low,3.0
synthetic_balance,1.39,1.52,4.7,67.79,-5.1338,-0.9992,0.9141,6.1411,0.3249,Low,2.0
synthetic_balance,34.53,6.89,9.6,74.22,0.1636,0.2752,1.3552,-13.737,0.7519,High,2.0
synthetic_balance,34.88,8.93,5.92,35.58,-3.4429,0.763,0.0902,7.4972,0.6517,High,2.0
real,17.0,5.0,10.0,55.0,0.0,0.0,0.0,0.0,0.4688,High,2.0
synthetic,35.54,9.08,7.66,25.78,-4.16,-1.33,0.94,1.75,0.6732,Moderate,
synthetic,22.4,9.93,11.42,3.02,-0.39,-0.73,-0.99,-13.44,0.6337,Moderate,
synthetic,22.32,1.61,4.61,41.04,-0.49,-0.07,0.85,-11.48,0.3784,Low,
synthetic_balance,16.94,3.95,2.0,22.35,0.4875,-0.6302,-1.0619,1.3527,0.2753,Low,2.0
real,11.0,1.88,10.0,10.0,0.0,0.0,0.0,0.0,0.2408,Low,4.0
real,4.0,3.75,3.75,30.0,-28.0,-5.0,-15.0,-45.0,0.2313,Low,4.0
real,16.0,4.38,6.88,55.0,0.0,0.0,0.0,0.0,0.4158,Moderate,4.0
synthetic_balance,24.88,1.84,3.83,17.36,0.8809,-1.395,0.4628,0.1487,0.3213,Low,2.0
synthetic_balance,0.17,8.27,4.8,11.68,-2.6979,-0.7743,-1.0863,6.3486,0.3554,Low,3.0
real,30.0,7.5,12.75,75.0,0.0,0.0,0.0,0.0,0.69,Low,2.0
synthetic,29.62,6.31,6.46,43.68,-1.63,0.12,0.28,-10.02,0.5866,Moderate,
synthetic,17.22,6.16,1.02,51.25,1.63,-0.78,0.27,12.24,0.411,Moderate,
synthetic_balance,30.49,1.42,5.04,34.09,-4.2529,-1.558,0.2184,1.124,0.4536,Low,2.0
synthetic,13.1,3.84,10.05,39.19,2.86,-1.35,0.22,1.78,0.4852,Moderate,
synthetic_balance,8.37,4.12,2.44,21.37,-1.6771,-0.4041,-0.687,3.3593,0.2383,Low,2.0
synthetic_balance,14.72,0.0,5.87,26.02,0.9003,-0.6119,-1.0055,-1.3748,0.3473,Low,3.0
synthetic,19.18,7.82,6.56,33.32,2.07,0.27,-1.37,-4.94,0.5354,Moderate,
synthetic,22.8,8.81,3.54,17.96,1.85,-1.5,0.5,-12.11,0.4813,Moderate,
synthetic,5.45,7.12,3.13,98.51,2.91,0.11,0.47,-9.24,0.5236,Moderate,
real,9.0,1.25,3.75,30.0,-9.0,-3.75,-11.5,-15.0,0.2,High,3.0
synthetic,33.88,4.96,11.47,73.88,-3.39,-0.18,-0.17,-11.63,0.7594,High,
real,20.0,6.25,15.88,40.0,0.0,0.0,0.0,0.0,0.5401,Moderate,2.0
real,15.0,6.88,15.25,70.0,0.0,0.0,0.0,0.0,0.5933,Low,2.0
synthetic_balance,22.28,2.91,2.2,13.82,2.1142,0.2519,0.3602,-0.3685,0.2984,Low,2.0
