source,student_id,term_id,week_number,stress_score,academic_workload_score,study_time_score,sleep_hours_score,mfbi_score,burnout_risk_level
synthetic,,,,11.85,1.7,2.74,5.79,0.1882,Low
synthetic,,,,37.97,4.03,10.09,68.13,0.7186,High
synthetic,,,,7.68,1.75,9.84,26.47,0.363,Low
synthetic,,,,36.53,1.4,8.29,81.45,0.6397,Moderate
synthetic,,,,9.41,2.76,11.59,26.46,0.4355,Moderate
synthetic,,,,17.2,4.33,3.41,77.58,0.4806,Moderate
synthetic,,,,30.87,3.78,10.1,21.31,0.5513,Moderate
synthetic,,,,0.17,5.71,11.93,3.86,0.4021,Moderate
synthetic,,,,8.32,5.19,9.81,8.9,0.4085,Moderate
synthetic,,,,15.81,7.47,4.77,18.88,0.4322,Moderate
synthetic,,,,7.82,4.1,6.01,86.18,0.4921,Moderate
synthetic,,,,25.69,6.9,11.8,41.18,0.682,Moderate
synthetic,,,,16.13,9.23,3.33,72.98,0.5835,Moderate
synthetic,,,,30.18,0.98,5.88,20.06,0.3858,Low
synthetic,,,,7.42,4.64,3.83,79.61,0.4411,Moderate
synthetic,,,,36.3,8.03,3.56,27.41,0.5703,Moderate
synthetic,,,,10.19,1.35,11.35,40.2,0.4345,Moderate
synthetic,,,,8.99,8.47,5.09,3.51,0.3827,Low
synthetic,,,,6.48,6.39,9.5,21.09,0.451,Moderate
synthetic,,,,36.7,8.51,10.26,22.77,0.7127,High
synthetic,,,,2.02,8.67,4.02,61.89,0.4679,Moderate
synthetic,,,,30.4,1.28,9.48,93.85,0.6542,Moderate
synthetic,,,,29.13,4.41,10.58,52.75,0.6447,Moderate
synthetic,,,,29.79,8.21,9.12,28.79,0.6532,Moderate
synthetic,,,,4.71,2.38,6.28,50.53,0.3463,Low
synthetic,,,,23.31,3.95,9.55,91.32,0.6717,Moderate
synthetic,,,,9.87,7.37,8.3,52.31,0.5494,Moderate
synthetic,,,,7.54,7.95,11.55,72.18,0.667,Moderate
synthetic,,,,36.71,9.84,4.55,63.82,0.7298,High
synthetic,,,,18.96,9.87,1.58,41.24,0.5011,Moderate
synthetic,,,,35.02,2.84,9.56,38.28,0.5848,Moderate
synthetic,,,,39.2,8.84,3.97,77.02,0.741,High
synthetic,,,,13.47,6.06,8.07,82.96,0.6114,Moderate
synthetic,,,,0.98,2.2,8.69,56.35,0.383,Low
synthetic,,,,19.82,0.55,4.51,86.51,0.4478,Moderate
synthetic,,,,1.24,3.96,11.37,5.09,0.3564,Low
synthetic,,,,29.99,2.58,10.47,74.61,0.6564,Moderate
synthetic,,,,35.43,2.16,6.61,77.93,0.6079,Moderate
synthetic,,,,9.83,2.31,0.81,95.85,0.3757,Low
synthetic,,,,28.4,6.36,9.06,53.16,0.658,Moderate
synthetic,,,,19.05,4.5,7.87,20.15,0.4457,Moderate
synthetic,,,,35.52,8.12,4.52,57.86,0.6638,Moderate
synthetic,,,,5.64,9.72,10.88,92.19,0.7356,High
synthetic,,,,13.29,1.69,2.94,9.0,0.209,Low
synthetic,,,,4.8,0.71,11.88,7.41,0.3139,Low
synthetic,,,,5.3,8.27,7.17,77.44,0.583,Moderate
synthetic,,,,25.24,8.82,7.84,52.21,0.6722,Moderate
synthetic,,,,28.51,4.47,4.48,46.77,0.5003,Moderate
synthetic,,,,6.79,7.97,3.5,15.35,0.3528,Low
synthetic,,,,9.85,8.42,4.3,68.6,0.5331,Moderate
synthetic,,,,34.26,0.78,9.3,30.77,0.5042,Moderate
synthetic,,,,8.66,6.89,10.96,29.5,0.5285,Moderate
synthetic,,,,22.75,2.9,6.87,62.19,0.5133,Moderate
synthetic,,,,24.41,6.24,2.05,69.35,0.5246,Moderate
synthetic,,,,26.99,6.83,1.35,44.68,0.4792,Moderate
synthetic,,,,16.36,0.87,3.06,44.1,0.2979,Low
synthetic,,,,29.72,2.37,10.04,54.58,0.5907,Moderate
synthetic,,,,30.42,4.73,6.24,61.97,0.5932,Moderate
synthetic,,,,37.12,4.92,6.58,60.2,0.6425,Moderate
synthetic,,,,29.5,0.72,6.43,48.16,0.4567,Moderate
synthetic,,,,36.87,4.94,5.89,96.22,0.717,High
synthetic,,,,18.02,1.81,2.99,9.52,0.244,Low
synthetic,,,,0.02,4.32,9.35,73.35,0.4862,Moderate
synthetic,,,,1.29,5.7,2.27,94.11,0.4332,Moderate
synthetic,,,,6.69,6.27,4.25,64.16,0.4475,Moderate
synthetic,,,,16.49,7.6,3.15,90.58,0.5851,Moderate
synthetic,,,,20.01,7.56,10.27,99.88,0.7778,High
synthetic,,,,8.96,2.87,3.38,26.29,0.2638,Low
synthetic,,,,23.3,9.94,11.89,52.68,0.7734,High
synthetic,,,,25.56,8.6,11.23,20.39,0.6596,Moderate
synthetic,,,,21.14,8.33,3.99,43.98,0.5334,Moderate
synthetic,,,,39.42,9.85,10.92,79.84,0.9198,High
synthetic,,,,10.77,3.21,6.79,56.08,0.4292,Moderate
synthetic,,,,20.22,6.37,5.2,74.92,0.5811,Moderate
synthetic,,,,13.34,3.31,1.96,18.87,0.2541,Low
synthetic,,,,34.02,4.46,3.12,75.93,0.579,Moderate
synthetic,,,,22.16,0.21,4.14,17.7,0.2742,Low
synthetic,,,,26.23,2.75,1.25,5.49,0.2724,Low
synthetic,,,,23.27,0.22,10.26,15.54,0.4035,Moderate
synthetic,,,,24.26,4.45,5.59,7.18,0.3973,Moderate
synthetic,,,,32.11,8.93,0.63,17.86,0.4817,Moderate
synthetic,,,,36.16,5.49,2.23,20.28,0.4604,Moderate
synthetic,,,,26.4,7.25,7.39,95.31,0.7385,High
synthetic,,,,19.76,3.0,5.99,35.97,0.4133,Moderate
synthetic,,,,8.98,0.46,4.55,71.14,0.3402,Low
synthetic,,,,0.74,4.39,7.91,61.04,0.4317,Moderate
synthetic,,,,31.07,8.11,8.68,10.28,0.6034,Moderate
synthetic,,,,19.0,6.03,3.32,4.26,0.3495,Low
synthetic,,,,8.94,4.55,5.26,17.67,0.3234,Low
synthetic,,,,32.98,9.26,2.82,92.96,0.7286,High
synthetic,,,,0.71,9.25,11.45,1.21,0.4772,Moderate
synthetic,,,,30.52,9.7,10.92,97.07,0.9034,High
synthetic,,,,22.01,0.78,10.27,61.38,0.5246,Moderate
synthetic,,,,24.59,4.17,7.08,15.36,0.4438,Moderate
synthetic,,,,29.59,0.75,8.89,84.9,0.6012,Moderate
synthetic,,,,18.9,5.1,4.09,96.95,0.5732,Moderate
synthetic,,,,29.32,3.69,2.51,21.96,0.3827,Low
synthetic,,,,18.56,9.43,8.94,21.52,0.5917,Moderate
synthetic,,,,34.38,3.78,10.29,24.17,0.5843,Moderate
synthetic,,,,24.75,9.27,3.47,69.29,0.6318,Moderate
synthetic,,,,39.49,1.51,1.52,67.42,0.4846,Moderate
synthetic,,,,13.59,0.71,5.97,75.38,0.4155,Moderate
synthetic,,,,11.4,3.35,10.23,52.01,0.4981,Moderate
synthetic,,,,33.71,4.46,11.46,65.08,0.7237,High
synthetic,,,,4.64,8.85,6.13,14.16,0.4133,Moderate
synthetic,,,,6.11,6.88,1.04,28.66,0.3035,Low
synthetic,,,,5.59,4.41,5.27,52.19,0.3854,Low
synthetic,,,,11.19,0.32,7.57,37.37,0.329,Low
synthetic,,,,26.05,1.09,0.66,24.83,0.2658,Low
synthetic,,,,18.26,3.94,9.82,37.78,0.5117,Moderate
synthetic,,,,21.22,5.94,0.75,51.51,0.4254,Moderate
synthetic,,,,13.79,4.21,1.65,78.28,0.4217,Moderate
synthetic,,,,37.7,0.22,7.42,76.38,0.5866,Moderate
synthetic,,,,11.39,7.88,7.77,92.92,0.6623,Moderate
synthetic,,,,39.24,0.42,5.62,54.7,0.5096,Moderate
synthetic,,,,5.87,3.36,11.86,1.62,0.3719,Low
synthetic,,,,18.1,8.43,4.22,47.98,0.5318,Moderate
synthetic,,,,39.12,4.75,2.01,5.17,0.4179,Moderate
synthetic,,,,37.82,2.66,6.3,9.07,0.4567,Moderate
synthetic,,,,16.95,9.3,6.28,97.11,0.712,High
synthetic,,,,10.35,5.05,10.38,44.83,0.5193,Moderate
synthetic,,,,11.18,8.55,4.98,53.07,0.5202,Moderate
synthetic,,,,39.06,1.86,3.97,3.11,0.3811,Low
synthetic,,,,15.67,2.0,8.32,18.13,0.3667,Low
synthetic,,,,26.99,2.63,4.59,34.89,0.4173,Moderate
synthetic,,,,28.67,4.67,4.65,85.26,0.6059,Moderate
synthetic,,,,22.88,2.14,10.85,34.27,0.5082,Moderate
synthetic,,,,1.56,4.95,1.93,23.85,0.2331,Low
synthetic,,,,29.88,1.31,9.78,93.69,0.6574,Moderate
synthetic,,,,24.26,7.1,8.71,99.28,0.7588,High
synthetic,,,,13.66,1.63,6.47,53.32,0.3942,Moderate
synthetic,,,,7.12,6.13,0.66,92.77,0.4435,Moderate
synthetic,,,,10.58,0.4,1.74,24.02,0.1724,Low
synthetic,,,,10.96,0.33,3.71,19.29,0.2023,Low
synthetic,,,,15.14,3.85,4.4,32.79,0.3646,Low
synthetic,,,,3.59,0.25,2.82,75.66,0.2767,Low
synthetic,,,,39.63,9.29,6.3,53.18,0.744,High
synthetic,,,,12.58,7.74,9.29,84.43,0.6768,Moderate
synthetic,,,,35.82,4.34,9.32,80.64,0.7282,High
synthetic,,,,12.34,9.29,1.58,99.43,0.591,Moderate
synthetic,,,,30.8,0.93,8.05,3.42,0.392,Moderate
synthetic,,,,30.81,7.99,7.43,85.69,0.7613,High
synthetic,,,,3.92,2.76,5.26,4.25,0.2137,Low
synthetic,,,,17.93,2.65,5.02,42.51,0.3891,Low
synthetic,,,,35.18,2.7,10.78,42.6,0.6185,Moderate
synthetic,,,,13.11,5.03,5.3,25.74,0.3824,Low
synthetic,,,,20.11,1.52,4.55,56.58,0.3998,Moderate
synthetic,,,,16.54,8.24,3.45,96.98,0.6237,Moderate
synthetic,,,,31.39,9.68,10.14,14.21,0.6848,Moderate
synthetic,,,,21.06,1.7,9.91,58.42,0.5266,Moderate
synthetic,,,,10.54,9.3,1.82,56.39,0.4772,Moderate
synthetic,,,,28.84,0.59,7.38,81.59,0.5526,Moderate
synthetic,,,,2.7,5.12,3.47,66.29,0.383,Low
synthetic,,,,4.75,9.37,10.79,18.6,0.5352,Moderate
synthetic,,,,12.93,5.88,8.76,44.27,0.5208,Moderate
synthetic,,,,6.25,1.04,12.0,45.54,0.4289,Moderate
synthetic,,,,34.9,4.82,11.11,8.78,0.5921,Moderate
synthetic,,,,4.56,9.3,11.4,31.47,0.577,Moderate
synthetic,,,,14.21,4.52,5.29,19.0,0.3595,Low
synthetic,,,,35.94,2.53,8.61,6.72,0.4841,Moderate
synthetic,,,,1.55,6.54,4.4,65.55,0.4286,Moderate
synthetic,,,,3.76,9.5,9.11,87.63,0.6698,Moderate
synthetic,,,,5.46,3.2,4.74,53.72,0.3471,Low
synthetic,,,,11.87,0.61,4.74,25.45,0.2518,Low
synthetic,,,,15.44,1.97,3.51,62.7,0.3756,Low
synthetic,,,,15.53,3.45,6.64,77.19,0.5147,Moderate
synthetic,,,,15.15,5.88,11.61,52.2,0.614,Moderate
synthetic,,,,36.39,7.94,1.18,42.91,0.5576,Moderate
synthetic,,,,27.93,9.87,5.77,9.28,0.5647,Moderate
synthetic,,,,22.48,1.27,9.14,50.77,0.4895,Moderate
synthetic,,,,28.94,8.69,7.73,61.24,0.7124,High
synthetic,,,,30.18,8.42,10.49,3.64,0.627,Moderate
synthetic,,,,22.25,2.16,10.39,64.84,0.5718,Moderate
synthetic,,,,16.81,1.88,4.4,70.38,0.4197,Moderate
synthetic,,,,8.17,0.94,10.71,76.42,0.4887,Moderate
synthetic,,,,7.99,2.92,11.68,70.82,0.5434,Moderate
synthetic,,,,24.42,3.08,3.94,3.95,0.3215,Low
synthetic,,,,29.14,0.43,0.56,72.95,0.3869,Low
synthetic,,,,37.95,7.57,5.92,48.6,0.6713,Moderate
synthetic,,,,17.45,3.25,6.5,43.12,0.4334,Moderate
synthetic,,,,23.93,8.98,11.94,7.87,0.6426,Moderate
synthetic,,,,15.39,1.81,4.55,28.75,0.308,Low
synthetic,,,,6.98,7.64,6.21,91.92,0.5938,Moderate
synthetic,,,,1.3,0.67,5.14,8.03,0.152,Low
synthetic,,,,10.51,9.86,2.9,19.81,0.4222,Moderate
synthetic,,,,22.95,4.98,7.18,37.67,0.5116,Moderate
synthetic,,,,33.07,1.39,5.43,68.98,0.5268,Moderate
synthetic,,,,34.73,3.7,7.03,6.91,0.4732,Moderate
synthetic,,,,6.81,0.69,8.87,28.81,0.3167,Low
synthetic,,,,28.95,0.66,10.42,83.55,0.6235,Moderate
synthetic,,,,3.56,0.24,1.15,85.36,0.2655,Low
synthetic,,,,9.39,5.48,5.4,79.55,0.5072,Moderate
synthetic,,,,19.56,5.01,11.87,15.01,0.5323,Moderate
synthetic,,,,33.23,0.52,5.99,88.63,0.5671,Moderate
synthetic,,,,26.61,6.85,3.53,41.86,0.5158,Moderate
synthetic,,,,14.66,5.21,5.82,32.69,0.4249,Moderate
synthetic,,,,12.22,2.51,4.7,14.99,0.2744,Low
synthetic,,,,34.88,6.02,2.04,69.39,0.5845,Moderate
synthetic,,,,33.91,2.38,2.23,0.86,0.32,Low
synthetic,,,,1.89,7.62,11.85,4.49,0.4605,Moderate
synthetic,,,,29.92,0.72,7.31,75.61,0.5463,Moderate
synthetic,,,,14.37,0.11,7.34,99.12,0.4934,Moderate
synthetic,,,,10.3,1.89,1.93,55.53,0.2907,Low
